ts,open,high,low,close,volume
1700000000,100.0000,100.6000,99.4000,100.0000,1000.0000
1700003600,100.0000,104.4067,99.3773,103.7840,1068.3933
1700007200,103.7840,107.7672,103.1413,107.1245,1133.1844
1700010800,107.1245,110.2953,106.4667,109.6375,1190.9612
1700014400,109.6375,111.7166,108.9712,111.0503,1238.6805
1700018000,111.0503,111.9054,110.3829,111.2380,1273.8292
1700021600,111.2380,111.8994,109.5783,110.2398,1294.5561
1700025200,110.2398,110.8893,107.6040,108.2535,1299.7695
1700028800,108.2535,108.8872,104.9749,105.6085,1289.1949
1700032400,105.6085,106.2249,102.1043,102.7207,1263.3892
1700036000,102.7207,103.3209,99.4354,100.0356,1223.7116
1700039600,100.0356,100.6234,97.3806,97.9684,1172.2516
1700043200,97.9684,98.5495,96.2659,96.8470,1111.7197
1700046800,96.8470,97.4485,96.2658,96.8673,1045.3038
1700050400,96.8673,98.6552,96.2789,98.0668,1023.4981
1700054000,98.0668,100.9210,97.4649,100.3191,1091.0625
1700057600,100.3191,103.9709,99.6990,103.3508,1153.8308
1700061200,103.3508,107.4192,102.7101,106.7785,1208.4973
1700064800,106.7785,110.8214,106.1176,110.1604,1252.1828
1700068400,110.1604,113.7343,109.4821,113.0560,1282.5866
1700072000,113.0560,115.7763,112.3655,115.0858,1298.1073
1700075600,115.0858,116.6784,114.3899,115.9825,1297.9275
1700079200,115.9825,116.6763,114.9335,115.6273,1282.0568
1700082800,115.6273,116.3117,113.3813,114.0657,1251.3308
1700086400,114.0657,114.7348,110.8329,111.5019,1207.3680
1700090000,111.5019,112.1516,107.6212,108.2708,1152.4837
1700093600,108.2708,108.8995,104.1642,104.7929,1089.5685
1700097200,104.7929,105.4020,100.9088,101.5179,1021.9360
1700100800,101.5179,102.1111,98.2701,98.8633,1046.8518
1700104400,98.8633,99.4463,96.5760,97.1589,1113.1721
1700108000,97.1589,97.7385,96.0222,96.6018,1173.5319
1700111600,96.6018,97.8136,96.0184,97.2302,1224.7523
1700115200,97.2302,99.5122,96.6367,98.9187,1264.1356
1700118800,98.9187,102.0034,98.3103,101.3951,1289.6076
1700122400,101.3951,104.9036,100.7694,104.2779,1299.8268
1700126000,104.2779,107.7713,103.6352,107.1285,1294.2550
1700129600,107.1285,110.1674,106.4715,109.5103,1273.1855
1700133200,109.5103,111.7150,108.8440,111.0487,1237.7282
1700136800,111.0487,112.1506,110.3798,111.4817,1189.7503
1700140400,111.4817,112.1459,110.0322,110.6964,1131.7789
1700144000,110.6964,111.3489,108.0916,108.7440,1066.8670
1700147600,108.7440,109.3790,105.1987,105.8337,1001.5666
1700151200,105.8337,106.4475,101.6907,102.3045,1069.9177
1700154800,102.3045,102.8960,97.9885,98.5800,1134.5864
1700158400,98.5800,99.1507,94.5406,95.1112,1192.1668
1700162000,95.1112,95.6651,91.7622,92.3161,1239.6263
1700165600,92.3161,92.8592,89.9799,90.5230,1274.4654
1700169200,90.5230,91.0626,89.3876,89.9272,1294.8491
1700172800,89.9272,91.1076,89.3838,90.5642,1299.7040
1700176400,90.5642,92.8595,90.0104,92.3057,1288.7743
1700180000,92.3057,95.4461,91.7364,94.8769,1262.6357
1700183600,94.8769,98.4816,94.2895,97.8943,1222.6647
1700187200,97.8943,101.5233,97.2888,100.9178,1170.9667
1700190800,100.9178,104.1313,100.2967,103.5103,1110.2643
1700194400,103.5103,105.9292,102.8785,105.2974,1043.7546
1700198000,105.2974,106.6542,104.6613,106.0181,1025.0596
1700201600,106.0181,106.6515,104.9269,105.5603,1092.5539
1700205200,105.5603,106.1841,103.3520,103.9759,1155.1737
