ts,open,high,low,close,volume
1700000000,100.0000,100.5000,99.5000,100.0000,1000.0000
1700003600,100.0000,101.9673,99.4927,101.4600,1068.3933
1700007200,101.4600,103.4043,100.9455,102.8898,1133.1844
1700010800,102.8898,104.7817,102.3685,104.2604,1190.9612
1700014400,104.2604,106.0717,103.7327,105.5440,1238.6805
1700018000,105.5440,107.2492,105.0104,106.7156,1273.8292
1700021600,106.7156,108.2920,106.1769,107.7532,1294.5561
1700025200,107.7532,109.1818,107.2100,108.6386,1299.7695
1700028800,108.6386,109.9044,108.0918,109.3577,1289.1949
1700032400,109.3577,110.4507,108.8081,109.9012,1263.3892
1700036000,109.9012,110.8160,109.3499,110.2647,1223.7116
1700039600,110.2647,111.0010,109.7124,110.4487,1172.2516
1700043200,110.4487,111.0111,109.8964,110.4588,1111.7197
1700046800,110.4588,111.0103,109.7537,110.3052,1045.3038
1700050400,110.3052,110.8552,109.4527,110.0028,1023.4981
1700054000,110.0028,110.5506,109.0223,109.5702,1091.0625
1700057600,109.5702,110.1153,108.4846,109.0297,1153.8308
1700061200,109.0297,109.5718,107.8645,108.4065,1208.4973
1700064800,108.4065,108.9452,107.1890,107.7276,1252.1828
1700068400,107.7276,108.2627,106.4863,107.0214,1282.5866
1700072000,107.0214,107.5530,105.7851,106.3167,1298.1073
1700075600,106.3167,106.8449,105.1137,105.6419,1297.9275
1700079200,105.6419,106.1671,104.4991,105.0243,1282.0568
1700082800,105.0243,105.5467,103.9664,104.4888,1251.3308
1700086400,104.4888,105.0091,103.5376,104.0579,1207.3680
1700090000,104.0579,104.5767,103.2317,103.7505,1152.4837
1700093600,103.7505,104.2684,103.0635,103.5814,1089.5685
1700097200,103.5814,104.0992,103.0434,103.5612,1021.9360
1700100800,103.5612,104.2141,103.0427,103.6956,1046.8518
1700104400,103.6956,104.5054,103.1757,103.9855,1113.1721
1700108000,103.9855,104.9488,103.4633,104.4266,1173.5319
1700111600,104.4266,105.5352,103.9016,105.0102,1224.7523
1700115200,105.0102,106.2511,104.4815,105.7225,1264.1356
1700118800,105.7225,107.0787,105.1898,106.5460,1289.6076
1700122400,106.5460,107.9965,106.0087,107.4592,1299.8268
1700126000,107.4592,108.9798,106.9170,108.4376,1294.2550
1700129600,108.4376,110.0016,107.8903,109.4543,1273.1855
1700133200,109.4543,111.0334,108.9019,110.4810,1237.7282
1700136800,110.4810,112.0458,109.9235,111.4883,1189.7503
1700140400,111.4883,113.0094,110.9261,112.4472,1131.7789
1700144000,112.4472,113.8960,111.8805,113.3293,1066.8670
1700147600,113.3293,114.6788,112.7588,114.1082,1001.5666
1700151200,114.1082,115.3337,113.5344,114.7599,1069.9177
1700154800,114.7599,115.8399,114.1836,115.2636,1134.5864
1700158400,115.2636,116.1802,114.6856,115.6022,1192.1668
1700162000,115.6022,116.3419,115.0234,115.7631,1239.6263
1700165600,115.7631,116.3418,115.1595,115.7382,1274.4654
1700169200,115.7382,116.3158,114.9468,115.5244,1294.8491
1700172800,115.5244,116.1001,114.5481,115.1237,1299.7040
1700176400,115.1237,115.6964,113.9701,114.5429,1288.7743
1700180000,114.5429,115.1118,113.2246,113.7936,1262.6357
1700183600,113.7936,114.3580,112.3275,112.8920,1222.6647
1700187200,112.8920,113.4513,111.2990,111.8583,1170.9667
1700190800,111.8583,112.4118,110.1624,110.7159,1110.2643
1700194400,110.7159,111.2634,108.9440,109.4914,1043.7546
1700198000,109.4914,110.0325,107.6720,108.2131,1025.0596
1700201600,108.2131,108.7476,106.3760,106.9105,1092.5539
1700205200,106.9105,107.4386,105.0857,105.6138,1155.1737
1700208800,105.6138,106.1356,103.8307,104.3525,1209.6209
1700212400,104.3525,104.8683,102.6391,103.1549,1253.0279
1700216000,103.1549,103.6651,101.5369,102.0472,1283.1087
1700219600,102.0472,102.5524,100.5475,101.0527,1298.2789
1700223200,101.0527,101.5537,99.6905,100.1915,1297.7397
1700226800,100.1915,100.6889,98.9819,99.4793,1281.5192
1700230400,99.4793,99.9739,98.4330,98.9276,1250.4720
1700234000,98.9276,99.4203,98.0503,98.5430,1206.2331
1700237600,98.5430,99.0346,97.8356,98.3272,1151.1325
1700241200,98.3272,98.8186,97.7856,98.2770,1088.0721
1700244800,98.2770,98.8761,97.7851,98.3841,1020.3733
1700248400,98.3841,99.1291,97.8910,98.6360,1048.3986
1700252000,98.6360,99.5106,98.1409,99.0155,1114.6214
1700255600,99.0155,99.9996,98.5180,99.5021,1174.8075
1700259200,99.5021,100.5725,99.0018,100.0721,1225.7869
1700262800,100.0721,101.2028,99.5686,100.6993,1264.8748
1700266400,100.6993,101.8629,100.1926,101.3561,1290.0124
1700270000,101.3561,102.5240,100.8461,102.0140,1299.8759
1700273600,102.0140,103.1576,101.5007,102.6444,1293.9458
1700277200,102.6444,103.7361,102.1283,103.2200,1272.5344
1700280800,103.2200,104.2334,102.7014,103.7148,1236.7693
1700284400,103.7148,104.6262,103.1943,104.1056,1188.5343
1700288000,104.1056,104.8941,103.5838,104.3723,1130.3697
1700291600,104.3723,105.0209,103.8498,104.4984,1065.3389
1700295200,104.4984,105.0207,103.9494,104.4718,1003.1332
1700298800,104.4718,104.9932,103.7637,104.2851,1071.4402
1700302400,104.2851,104.8048,103.4160,103.9356,1135.9847
1700306000,103.9356,104.4528,102.9087,103.4258,1193.3672
1700309600,103.4258,103.9397,102.2491,102.7630,1240.5656
1700313200,102.7630,103.2728,101.4492,101.9590,1275.0941
1700316800,101.9590,102.4642,100.5252,101.0304,1295.1342
1700320400,101.0304,101.5303,99.4974,99.9974,1299.6303
1700324000,99.9974,100.4918,98.3893,98.8837,1288.3458
1700327600,98.8837,99.3723,97.2272,97.7158,1261.8749
1700331200,97.7158,98.1984,96.0394,96.5220,1221.6118
1700334800,96.5220,96.9986,94.8551,95.3317,1169.6770
1700338400,95.3317,95.8026,93.7040,94.1748,1108.8058
1700342000,94.1748,94.6402,92.6152,93.0806,1042.2041
1700345600,93.0806,93.5409,91.6164,92.0768,1026.6204
1700349200,92.0768,92.5327,90.7333,91.1893,1094.0428
1700352800,91.1893,91.6415,89.9886,90.4408,1156.5123
1700356400,90.4408,90.8900,89.4013,89.8506,1210.7387
1700360000,89.8506,90.2977,88.9867,89.4338,1253.8661
1700363600,89.4338,89.8799,88.7552,89.2012,1283.6231
1700367200,89.2012,89.6470,88.7128,89.1586,1298.4424
1700370800,89.1586,89.7532,88.7120,89.3066,1297.5436
1700374400,89.3066,90.0895,88.8584,89.6413,1280.9741
1700378000,89.6413,90.6041,89.1905,90.1533,1249.6064
1700381600,90.1533,91.2833,89.6992,90.8291,1205.0926
1700385200,90.8291,92.1090,90.3709,91.6507,1149.7771
1700388800,91.6507,93.0595,91.1878,92.5965,1086.5734
1700392400,92.5965,94.1098,92.1283,93.6416,1018.8100
1700396000,93.6416,95.2327,93.1678,94.7589,1049.9440
1700399600,94.7589,96.3993,94.2793,95.9197,1116.0676
1700403200,95.9197,97.5799,95.4342,97.0944,1176.0783
1700406800,97.0944,98.7450,96.6032,98.2537,1226.8154
1700410400,98.2537,99.8658,97.7569,99.3690,1265.6067
1700414000,99.3690,100.9154,98.8669,100.4133,1290.4093
1700417600,100.4133,101.8693,99.9065,101.3625,1299.9169
1700421200,101.3625,102.7063,100.8515,102.1954,1293.6287
1700424800,102.1954,103.4090,101.6809,102.8945,1271.8758
1700428400,102.8945,103.9641,102.3773,103.4468,1235.8041
1700432000,103.4468,104.3631,102.9276,103.8439,1187.3131
1700435600,103.8439,104.6025,103.3235,104.0821,1128.9570
1700439200,104.0821,104.6836,103.5613,104.1628,1063.8090
1700442800,104.1628,104.6832,103.5717,104.0922,1004.6996
1700446400,104.0922,104.6116,103.3620,103.8814,1072.9607
1700450000,103.8814,104.3991,103.0279,103.5457,1137.3792
1700453600,103.5457,104.0612,102.5888,103.1043,1194.5623
1700457200,103.1043,103.6172,102.0670,102.5799,1241.4983
1700460800,102.5799,103.0899,101.4878,101.9978,1275.7153
1700464400,101.9978,102.5047,100.8782,101.3851,1295.4112
1700468000,101.3851,101.8890,100.2665,100.7703,1299.5485
1700471600,100.7703,101.2712,99.6810,100.1819,1287.9095
1700475200,100.1819,100.6801,99.1498,99.6480,1261.1071
1700478800,99.6480,100.1440,98.6993,99.1953,1220.5529
1700482400,99.1953,99.6896,98.3541,98.8483,1168.3827
1700486000,98.8483,99.3415,98.1355,98.6286,1107.3444
1700489600,98.6286,99.1214,98.0615,98.5543,1040.6525
1700493200,98.5543,99.1325,98.0611,98.6393,1028.1804
1700496800,98.6393,99.3875,98.1448,98.8931,1095.5292
1700500400,98.8931,99.8169,98.3965,99.3203,1157.8467
1700504000,99.3203,100.4201,98.8207,99.9205,1211.8508
1700507600,99.9205,101.1921,99.4171,100.6886,1254.6974
1700511200,100.6886,102.1224,100.1805,101.6143,1284.1298
1700514800,101.6143,103.1964,101.1009,102.6830,1298.5978
1700518400,102.6830,104.3951,102.1636,103.8757,1297.3395
