ts,open,high,low,close,volume
1700000000,100.0000,100.4000,99.6000,100.0000,1000.0000
1700003600,100.0000,105.3313,99.5804,104.9117,1068.3933
1700007200,104.9117,109.4709,104.4756,109.0348,1133.1844
1700010800,109.0348,112.2219,108.5877,111.7748,1190.9612
1700014400,111.7748,113.3245,111.3233,112.8730,1238.6805
1700018000,112.8730,113.3228,112.0080,112.4578,1273.8292
1700021600,112.4578,112.9018,110.5485,110.9925,1294.5561
1700025200,110.9925,111.4290,108.6974,109.1339,1299.7695
1700028800,109.1339,109.5641,107.1123,107.5425,1289.1949
1700032400,107.5425,107.9692,106.2677,106.6945,1263.3892
1700036000,106.6945,107.1772,106.2675,106.7502,1223.7116
1700039600,106.7502,107.9429,106.3202,107.5128,1172.2516
1700043200,107.5128,108.9232,107.0788,108.4893,1111.7197
1700046800,108.4893,109.4734,108.0531,109.0373,1045.3038
1700050400,109.0373,109.4715,108.1221,108.5564,1023.4981
1700054000,108.5564,108.9830,106.2437,106.6704,1091.0625
1700057600,106.6704,107.0838,102.9379,103.3513,1153.8308
1700061200,103.3513,103.7471,98.5526,98.9484,1208.4973
1700064800,98.9484,99.3249,93.7385,94.1149,1252.1828
1700068400,94.1149,94.4735,89.2922,89.6508,1282.5866
1700072000,89.6508,89.9960,85.9593,86.3045,1298.1073
1700075600,86.3045,86.6428,84.2479,84.5862,1297.9275
1700079200,84.5862,84.9830,84.2476,84.6444,1282.0568
1700082800,84.6444,86.5829,84.2995,86.2380,1251.3308
1700086400,86.2380,89.1664,85.8827,88.8112,1207.3680
1700090000,88.8112,92.0176,88.4445,91.6510,1152.4837
1700093600,91.6510,94.4593,91.2746,94.0830,1089.5685
1700097200,94.0830,96.0349,93.7004,95.6523,1021.9360
1700100800,95.6523,96.6248,95.2674,96.2399,1046.8518
1700104400,96.2399,96.6242,95.6983,96.0826,1113.1721
1700108000,96.0826,96.4654,95.3100,95.6927,1173.5319
1700111600,95.6927,96.0811,95.3099,95.6984,1224.7523
1700115200,95.6984,97.0371,95.3118,96.6505,1264.1356
1700118800,96.6505,99.2450,96.2551,98.8496,1289.6076
1700122400,98.8496,102.6502,98.4407,102.2412,1299.8268
1700126000,102.2412,106.8340,101.8156,106.4084,1294.2550
1700129600,106.4084,111.1087,105.9657,110.6661,1273.1855
1700133200,110.6661,114.6876,110.2091,114.2307,1237.7282
1700136800,114.2307,116.8855,113.7650,116.4198,1189.7503
1700140400,116.4198,117.2948,115.9525,116.8275,1131.7789
1700144000,116.8275,117.2892,114.9664,115.4281,1066.8670
1700147600,115.4281,115.8784,112.1294,112.5797,1001.5666
1700151200,112.5797,113.0154,108.4914,108.9271,1069.9177
1700154800,108.9271,109.3480,104.8091,105.2300,1134.5864
1700158400,105.2300,105.6386,101.7560,102.1646,1192.1668
1700162000,102.1646,102.5652,99.7508,100.1514,1239.6263
1700165600,100.1514,100.5485,98.8594,99.2565,1274.4654
1700169200,99.2565,99.6532,98.7960,99.1928,1294.8491
1700172800,99.1928,99.8180,98.7951,99.4203,1299.7040
1700176400,99.4203,99.8176,98.9190,99.3163,1288.7743
1700180000,99.3163,99.7098,97.9751,98.3685,1262.6357
1700183600,98.3685,98.7539,95.9521,96.3374,1222.6647
1700187200,96.3374,96.7108,92.9683,93.3417,1170.9667
1700190800,93.3417,93.7010,89.4838,89.8432,1110.2643
1700194400,89.8432,90.1893,86.1885,86.5346,1043.7546
1700198000,86.5346,86.8713,83.8236,84.1603,1025.0596
1700201600,84.1603,84.4935,82.9846,83.3179,1092.5539
1700205200,83.3179,84.6344,82.9807,84.2972,1155.1737
