ts,open,high,low,close,volume
1700000000,100.0000,100.4000,99.6000,100.0000,1000.0000
1700003600,100.0000,102.7108,99.5908,102.3016,1068.3933
1700007200,102.3016,104.9124,101.8836,104.4944,1133.1844
1700010800,104.4944,106.9037,104.0685,106.4777,1190.9612
1700014400,106.4777,108.5993,106.0451,108.1666,1238.6805
1700018000,108.1666,109.9357,107.7286,109.4977,1273.8292
1700021600,109.4977,110.8758,109.0560,110.4340,1294.5561
1700025200,110.4340,111.4108,109.9902,110.9670,1299.7695
1700028800,110.9670,111.5608,110.5225,111.1163,1289.1949
1700032400,111.1163,111.5600,110.4842,110.9279,1263.3892
1700036000,110.9279,111.3698,110.0272,110.4691,1223.7116
1700039600,110.4691,110.9084,109.3833,109.8226,1172.2516
1700043200,109.8226,110.2589,108.6429,109.0792,1111.7197
1700046800,109.0792,109.5125,107.8963,108.3296,1045.3038
1700050400,108.3296,108.7602,107.2261,107.6567,1023.4981
1700054000,107.6567,108.0852,106.6999,107.1284,1091.0625
1700057600,107.1284,107.5556,106.3649,106.7920,1153.8308
1700061200,106.7920,107.2187,106.2434,106.6701,1208.4973
1700064800,106.6701,107.1858,106.2430,106.7587,1252.1828
1700068400,106.7587,107.4566,106.3306,107.0285,1282.5866
1700072000,107.0285,107.8563,106.5988,107.4266,1298.1073
1700075600,107.4266,108.3136,106.9950,107.8821,1297.9275
1700079200,107.8821,108.7457,107.4489,108.3125,1282.0568
1700082800,108.3125,109.0652,107.8779,108.6307,1251.3308
1700086400,108.6307,109.1885,108.1957,108.7535,1207.3680
1700090000,108.7535,109.1879,108.1745,108.6089,1152.4837
1700093600,108.6089,109.0415,107.7107,108.1433,1089.5685
1700097200,108.1433,108.5726,106.8971,107.3264,1021.9360
1700100800,107.3264,107.7510,105.7302,106.1548,1046.8518
1700104400,106.1548,106.5735,104.2350,104.6536,1113.1721
1700108000,104.6536,105.0651,102.4629,102.8744,1173.5319
1700111600,102.8744,103.2780,100.4893,100.8929,1224.7523
1700115200,100.8929,101.2881,98.4075,98.8027,1264.1356
1700118800,98.8027,99.1895,96.3221,96.7090,1289.6076
1700122400,96.7090,97.0878,94.3414,94.7203,1299.8268
1700126000,94.7203,95.0920,92.5688,92.9405,1294.2550
1700129600,92.9405,93.3064,91.0952,91.4610,1273.1855
1700133200,91.4610,91.8224,89.9922,90.3536,1237.7282
1700136800,90.3536,90.7122,89.3066,89.6652,1189.7503
1700140400,89.6652,90.0229,89.0573,89.4150,1131.7789
1700144000,89.4150,89.9510,89.0566,89.5927,1066.8670
1700147600,89.5927,90.5209,89.2320,90.1602,1001.5666
1700151200,90.1602,91.4196,89.7960,91.0553,1069.9177
1700154800,91.0553,92.5655,90.6865,92.1967,1134.5864
1700158400,92.1967,93.8650,91.8227,93.4910,1192.1668
1700162000,93.4910,95.2203,93.1116,94.8410,1239.6263
1700165600,94.8410,96.5377,94.4563,96.1531,1274.4654
